mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
741.3274791240692,41.798802165595305,1.3751752376556396,0.09086193841527901,0.25,poly,4,"{'C': 0.25, 'gamma': 4, 'kernel': 'poly'}",0.8302,0.8274,0.8324,0.8303,0.8404,0.8321400000000001,0.004425200560426613,149,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.764404153823852,0.16855291018008306,0.9344474315643311,0.0919162516161193,0.25,sigmoid,4,"{'C': 0.25, 'gamma': 4, 'kernel': 'sigmoid'}",0.4,0.4,0.4,0.4,0.4,0.4,0.0,419,0.4,0.4,0.4,0.4,0.4,0.4,0.0
53.99055609703064,21.472656561373814,3.6272955894470216,0.8863787582716244,0.25,rbf,8,"{'C': 0.25, 'gamma': 8, 'kernel': 'rbf'}",0.6014,0.6014,0.6022,0.6026,0.4134,0.5642000000000001,0.07540143234713782,407,0.60365,0.604,0.6032,0.603425,0.4152,0.565895,0.07534796347612853
758.0807522773742,39.99301946165406,1.4546367168426513,0.14937978370047944,0.25,poly,8,"{'C': 0.25, 'gamma': 8, 'kernel': 'poly'}",0.8302,0.8274,0.8324,0.8303,0.8404,0.8321400000000001,0.004425200560426613,149,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.861041116714477,0.14315584032855566,1.024097728729248,0.08286926651110083,0.25,sigmoid,8,"{'C': 0.25, 'gamma': 8, 'kernel': 'sigmoid'}",0.4,0.4,0.4,0.4,0.4,0.4,0.0,419,0.4,0.4,0.4,0.4,0.4,0.4,0.0
19.38329405784607,0.5136150485645136,3.2443408489227297,0.183398726123222,0.5,rbf,0.0009765625,"{'C': 0.5, 'gamma': 0.0009765625, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
19.940759706497193,0.9965708470318925,3.6279018402099608,0.22096284949042902,0.5,poly,0.0009765625,"{'C': 0.5, 'gamma': 0.0009765625, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
21.298722791671754,0.23537024457779257,3.645640230178833,0.13333497034870886,0.5,sigmoid,0.0009765625,"{'C': 0.5, 'gamma': 0.0009765625, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
19.95623297691345,0.1328084107474663,3.5207329750061036,0.18190994449466516,0.5,rbf,0.001953125,"{'C': 0.5, 'gamma': 0.001953125, 'kernel': 'rbf'}",0.6182,0.6177,0.6192,0.6173,0.6197,0.61842,0.0009019977827023849,334,0.6186,0.62035,0.617825,0.618875,0.619625,0.619055,0.0008665160125467912
20.50601930618286,2.3761118370833714,3.601395082473755,0.47695688795573793,0.5,poly,0.001953125,"{'C': 0.5, 'gamma': 0.001953125, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
